,gender,name,original_name
548040,2,Hiroshi Nihon'yanagi,Hiroshi Nihon'yanagi
93100,2,Toshio Hosokawa,Toshio Hosokawa
83640,2,Tōru Abe,Tōru Abe
1076386,2,Hiroshi Akutagawa,Hiroshi Akutagawa
224666,2,Kiyoshi Atsumi,Kiyoshi Atsumi
235380,2,Harold Conway,Harold Conway
119981,0,Glenn Dixon,Glenn Dixon
3389266,0,Dave Donnelly,Dave Donnelly
3389268,0,Charles Gilbert,Charles Gilbert
136875,2,Ryōji Hayama,Ryōji Hayama
96637,2,Hisashi Igawa,Hisashi Igawa
2577427,0,Alex Johnson,Alex Johnson
1329623,2,Akira Kume,Akira Kume
1566051,0,Eitarô Matsuyama,Eitarô Matsuyama
2981464,0,Mitch Mitchell,Mitch Mitchell
120348,2,Hideo Murota,Hideo Murota
239493,2,Jirô Okazaki,Jirô Okazaki
91243,2,Charlie Picerni,Charlie Picerni
3390281,0,Edward Sheehan,Edward Sheehan
3389102,0,Tommy Splittgerber,Tommy Splittgerber
3173,2,G. D. Spradlin,G. D. Spradlin
1808938,0,Hiroshi Tom Tanaka,Hiroshi Tom Tanaka
161001,2,Bob Turnbull,Bob Turnbull
1459105,0,Meredith 'Tex' Weatherby,Meredith 'Tex' Weatherby
3390283,0,Bruce Wilson,Bruce Wilson
551815,2,Mike Danning,Mike Danning
38998,1,Dorothy Tutin,Dorothy Tutin
29069,2,Michael Jayston,Michael Jayston
108638,2,Richard Cornish,Richard Cornish
47567,1,Anna Cropper,Anna Cropper
27944,2,George Merritt,George Merritt
115622,2,Anthony May,Anthony May
45473,2,Ian McCulloch,Ian McCulloch
95513,2,Robin Stewart,Robin Stewart
