,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
nan_1930,False,/xpliII1MkXvSLX67xXuWLdolop.jpg,"[37, 35, 10749]",166290,en,Dangerous Nan McGrew,"Dangerous Nan McGrew is the sharp-shooting expert of a traveling medicine show that is stranded in the Canadian northwest at the snowbound hunting lodge of wealthy Mrs. Benson. Nan is invited to put on a show for the benefit of Mrs. Benson's Christmas-Eve guests. While performing her boop-a-doop songs, Eustace Macy, the saxophone-tooting nephew of Mrs. Benson falls in love with Nan. And, then, the villain, the bank-robbing Doc Foster, makes his entrance. Can Dawes of the Royal Mounted be seen slushing in pursuit behind the gangster? Could Be.",0.673,/w8ZwoYsFrVC81dYL9GAwdZ0vhba.jpg,1930-06-22,Dangerous Nan McGrew,False,2,1
The Criminal Code_1930,False,/4kcUGPbSZZvvTjve3DrJo3erzFT.jpg,"[80, 18]",42815,en,The Criminal Code,"After young Robert Graham commits a murder while drunk and defending his girlfriend, he is prosecuted by ambitious Mark Brady and sentenced to 10 years. Six years later, Brady becomes the prison warden and offers the beleaguered Robert a job as his chauffeur. Robert cleans up his act, but, on the eve of his pardon, his cellmate drags him back into the world of violence, and he faces a difficult choice that could return him to prison.",1.522,/8avwFTJH1YCEkX4XhAKQkphtw4q.jpg,1930-12-31,The Criminal Code,False,6.3,17
Little Caesar_1930,,,,,,,,,,,,,,
The Dawn Patrol_1930,False,/1n6OeLYXzDZ5TnuyWj9ysatBDyv.jpg,"[10752, 18, 28]",81847,en,The Dawn Patrol,"World War I ace Dick Courtney derides the leadership of his superior officer, but he soon is promoted to squadron commander and learns harsh lessons about sending subordinates to their deaths.",2.175,/iCi0rIsbn1BOgQknhAY8VTk8Ve6.jpg,1930-07-10,The Dawn Patrol,False,6.7,19
The Doorway to Hell_1930,False,/Ac6WZRfp3NnJD0QsqkgfEXDs4qW.jpg,"[80, 18]",26699,en,The Doorway to Hell,"A vicious crime lord decides that he has had enough and much to the shock of his colleagues decides to give the business to his second in command and retire to Florida after marrying his moll. Unfortunately, he has no idea that she and the man are lovers.",2.142,/jZgIKq8CHrcy17Mdb4VMGMQNV3a.jpg,1930-10-18,The Doorway to Hell,False,6,13
Laughter_1930,False,/ylq7KGSpqTiz3EYzQjJcW8BDAC.jpg,"[10749, 35]",166010,en,Laughter,"Zeigfeld Follies beauty Peggy marries an older man, C. Morton Gibson. Although she soon grows tired of their sedate life, she refuses the attentions of her longtime friend, the volatile sculptor Ralph Le Saint. When pianist Paul Lockridge arrives from Paris, he begs Peggy to run away with him to France, where they can share adventure and a full life -- but complications arise for Peggy when Gibson's attractive daughter visits.",0.6,/uTj0F1UfFdGdGEXH5PD9e4SG4yq.jpg,1930-09-24,Laughter,False,4.9,7
The Public Enemy_1930,,,,,,,,,,,,,,
Smart Money_1930,,,,,,,,,,,,,,
The Champ_1931,False,/vT5TmlYo9Y16KGMx86bD3KLMIbL.jpg,[18],42816,en,The Champ,A broken-down alcoholic prizefighter struggles to keep custody of his adoring son.,5.31,/sGKaHwQu04ERzR8z6vEub2C0a0l.jpg,1931-11-21,The Champ,False,7.1,39
The Guardsman_1931,False,/5InW3Pq4Q8EcKCHUaV7aoZEsDZj.jpg,"[35, 18]",95004,en,The Guardsman,"An acclaimed actor and his equally acclaimed actress wife, who have been married for less than a year, are already showing signs of strain in their marriage. The actor believes his wife is capable of infidelity and sets out to prove this is so. Disguising himself as the kind of man he believes she fancies (a Russian military officer), the actor woos his wife while she believes her husband to be out of town.",1.065,/qFCg6EJPLidIgwwolbwLBb42qEG.jpg,1931-10-20,The Guardsman,False,5.8,5
Dr. Jekyll and Mr. Hyde_1931,False,/i2Wb6QsKg14tl4p9HgJENfUCqhh.jpg,"[27, 878]",3019,en,Dr. Jekyll and Mr. Hyde,"Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",9.351,/mZtQORzQWkCSqeeHApH6vJDA1D2.jpg,1931-12-24,Dr. Jekyll and Mr. Hyde,False,7.3,216
Emma_1931,False,,[35],162753,en,Helping Grandma,"The kids' adopted grandma decides to sell her store, but can't decide whom to sell it to. The kids try to help her out.",0.806,/fXbpPvjxiTkk3lTghG0BAXm3uej.jpg,1931-01-03,Helping Grandma,False,6.8,6
The Sin of Madelon Claudet_1931,False,/xwxY69Lff2QxjejgfbSx1RL6FlN.jpg,[18],85504,en,The Sin of Madelon Claudet,"Out of jail for a crime she did not commit, Madelon turns to prostitution and thievery to send her illegitimate son to medical school.",2.15,/6Y3PTsAukFXvHojykl3Z6rmfn5p.jpg,1931-10-23,The Sin of Madelon Claudet,False,5.9,15
À Nous la Liberté_1931,False,/naHXHsdkizGec3ndo3kwcwamLos.jpg,"[35, 10402]",31514,fr,À nous la liberté,"In this classic French satire, Louis, a convict, escapes from prison and takes on legitimate work, making his way up in the business world. Eventually becoming the head of a successful factory, Louis opts to modernize his company with mechanical innovations. But when his friend Émile finally leaves jail years later and reunites with Louis, the past catches up with them. The two, worried about being apprehended by police, long to flee the confines of industry.",4.878,/z6XdIxE1CRqSgfOJxX1nGik6CGm.jpg,1931-12-18,À Nous la Liberté,False,7,72
Arrowsmith_1931,False,/blUOUJwd6NpCgOIbofFukQKcBO4.jpg,[18],84298,en,Arrowsmith,"A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.",1.189,/urUy4jYuRs53WSmE0t0BivUSQjC.jpg,1931-12-07,Arrowsmith,False,6.8,17
Transatlantic_1931,False,/4R0SRWGwTKG5NatS4AkpUqbdeiL.jpg,"[35, 18, 53]",87306,en,Transatlantic,"As a luxurious ocean liner makes its way across the Atlantic Ocean, the audience is made privy to the travails of several of its passengers. Edmund Lowe heads the cast as Monty Greer, a suave gambler who falls in love with Judy, the daughter of immigrant lens grinder Rudolph Kramer. In trying to recover some valuable securities stolen from banker Henry Graham, Greer finds himself in the middle of a fierce gun battle in the ship's engine room. Meanwhile, Graham, who has been cheating on his wife Kay with sexy dancer Sigrid Carline, is murdered by person or persons unknown.",0.92,/zNjO7JfXsXTPExIO0vMOsb2g9L4.jpg,1931-08-30,Transatlantic,False,5.3,7
Shanghai Express_1931,,,,,,,,,,,,,,
Bad Girl_1931,False,/a2M2cG9pwZmFkGlyAAseHTGuxWQ.jpg,[10749],84299,en,Bad Girl,"A man and woman, skeptical about romance, nonetheless fall in love and are wed, but their lack of confidence in the opposite sex haunts their marriage.",2.234,/pzsSEO55GA1oApfTmyBCLJYiRyb.jpg,1931-08-13,Bad Girl,False,5.8,22
Five Star Final_1931,False,/sy5ABckvrfsMvAd1AGeWMHJH9yj.jpg,"[80, 18]",42669,en,Five Star Final,An unscrupulous newspaper editor searches for headlines at any cost.,2.268,/1DZF4buRoDNsnAtkQZd8fIYVCCV.jpg,1931-09-26,Five Star Final,False,6.7,21
Grand Hotel_1931,False,,[18],80909,de,Eine Nacht im Grandhotel,"Fritz is in love with artist Glay, who stays at the Grand Hotel. In spite of not having any money he gets to know her, invites her to supper and after dancing a tango even hires the royal suite. How will he get out of this is a mystery even to himself.",0.871,,1931-12-08,One Night at the Grand Hotel,False,5.5,1
One Hour with You_1931,,,,,,,,,,,,,,
